locus	average_fitness	sd	sem	N_insertions
SP_1626	0			0
SP_1627	1.007	0.107	0.010	109
SP_1628	0.987	0.072	0.007	99
SP_1629	0.991	0.050	0.018	8
SP_1630	0.999	0.060	0.012	26
SP_1631	0.991	0.025	0.018	2
SP_1632	0.998	0.075	0.007	113
SP_1633	1.001	0.071	0.009	62
SP_1634	0.996	0.057	0.005	124
SP_1635	0.996	0.075	0.010	57
SP_1636	0.997	0.055	0.017	11
SP_1637	0.985	0.088	0.010	73
SP_1638	0			0
SP_1640	0.965	0.075	0.010	54
SP_1641	0.988	0.091	0.013	53
SP_1642	0.997	0.078	0.025	10
SP_1643	1.052	0.079	0.032	6
SP_1644	1.008	0.074	0.011	46
SP_1645	1.023	0.091	0.010	75
SP_1646	0.993	0.089	0.011	70
SP_1647	0.986	0.076	0.006	165
SP_1648	0			0
SP_1649	1.153	0.303	0.107	8
SP_1650	0			0
SP_1651	1.090	0.098	0.016	40
SP_1652	1.009	0.076	0.004	373
SP_1653	0.996	0.146	0.022	44
SP_1654	1.014	0.072	0.005	199
SP_1655	0.871	0.093	0.046	4
SP_1656	1.039	0.045	0.015	9
SP_1657	0.997	0.050	0.013	16
SP_1658	0.979	0.051	0.013	16
SP_1659	1.018	0.061	0.043	2
SP_1660	0.998	0.017	0.010	3
SP_1661	0.973	0.089	0.021	18
SP_1662	1.016	0.060	0.009	49
SP_1663	1.018	0.066	0.021	10
SP_1664	0.926	0.081	0.033	6
SP_1665	1.040	0.070	0.009	61
SP_1666	0			0
SP_1667	0			0
SP_1668	0.980	0.080	0.016	24
SP_1669	0.993	0.084	0.017	24
SP_1670	0			0
SP_1671	0.951	0.018	0.009	4
SP_1672	0			0
SP_1673	0			0
SP_1674	0.996	0.073	0.007	105
SP_1675	1.022	0.065	0.006	122
SP_1676	1.010	0.069	0.006	149
SP_1677	1.006	0.067	0.008	64
SP_1678	1.070	0.074	0.028	7
SP_1679	1.016	0.078	0.008	101
SP_1680	0.994	0.074	0.013	33
SP_1681	0.983	0.100	0.010	95
SP_1682	0.978	0.085	0.008	111
SP_1683	0.980	0.069	0.005	219
SP_1684	1.008	0.095	0.005	355
SP_1685	0.949	0.086	0.025	12
SP_1686	1.001	0.063	0.006	125
SP_1687	0.990	0.085	0.003	613
SP_1688	1.007	0.070	0.006	158
SP_1689	0.986	0.063	0.005	185
SP_1690	0.998	0.075	0.005	185
SP_1691	0.988	0.071	0.014	25
SP_1693	1.015	0.071	0.003	426
SP_1694	0.998	0.093	0.017	31
SP_1695	1.019	0.067	0.010	46
SP_1697	1.220	0.104	0.031	11
SP_1698	1.148	0.043	0.025	3
SP_1699	1.100	0.011	0.008	2
SP_1700	1.019	0.064	0.008	59
SP_1701	1.029	0.085	0.013	43
SP_1702	0.992	0.061	0.025	6
SP_1703	1.002	0.060	0.013	20
SP_1704	1.011	0.063	0.010	41
SP_1705	1.015	0.102	0.012	70
SP_1706	1.011	0.058	0.006	101
SP_1707	1.026	0.070	0.016	18
SP_1708	1.029	0.041	0.014	8
SP_1709	0			0
SP_1710	1.017	0.079	0.018	19
SP_1711	0			0
SP_1712	0			0
SP_1713	0			0
SP_1714	1.046	0.064	0.021	9
SP_1715	1.015	0.142	0.011	171
SP_1716	1.013	0.072	0.005	177
SP_1717	1.003	0.083	0.014	38
SP_1718	1.061	0.073	0.028	7
SP_1719	1.004	0.063	0.008	63
SP_1720	0.987	0.081	0.008	97
SP_1721	0.998	0.076	0.007	119
SP_1722	1.013	0.075	0.007	119
SP_1723	1.009	0.073	0.014	29
SP_1724	1.063	0.053	0.019	8
SP_1725	1.039	0.080	0.013	40
SP_1726	0			0
SP_1727	0.869	0	0	1
SP_1728	0.998	0.058	0.009	45
SP_1730	0.998	0.080	0.013	41
SP_1731	0.992	0.069	0.016	19
SP_1732	0			0
SP_1733	0			0
SP_1734	0.980	0.080	0.010	59
SP_1735	0			0
SP_1736	0			0
SP_1737	0			0
SP_1738	0.990	0	0	1
SP_1739	1.081	0.120	0.085	2
SP_1740	0.991	0.063	0.013	25
SP_1741	1.030	0.091	0.028	11
SP_1742	1.022	0.076	0.010	56
SP_1743	1.015	0.090	0.011	67
SP_1744	1.004	0.081	0.016	27
SP_1745	1.036	0.078	0.019	16
SP_1746	1.003	0.074	0.015	25
SP_1747	1.139	0.127	0.048	7
SP_1748	1.056	0.149	0.050	9
SP_1749	1.021	0	0	1
SP_1750	0			0
SP_1751	1.000	0.072	0.009	69
SP_1752	0.986	0.075	0.012	37
SP_1753	1.003	0.073	0.007	98
SP_1754	1.036	0.071	0.007	102
SP_1755	1.024	0.072	0.008	74
SP_1756	0.988	0.117	0.039	9
SP_1757	1.013	0.068	0.006	150
SP_1758	1.013	0.072	0.005	204
SP_1759	1.005	0.070	0.003	425
SP_1760	1.011	0.069	0.006	125
SP_1761	1.019	0.068	0.004	237
SP_1762	1.000	0.079	0.005	222
SP_1763	1.003	0.083	0.005	315
SP_1764	1.012	0.079	0.007	125
SP_1765	1.021	0.083	0.004	388
SP_1766	1.003	0.075	0.006	184
SP_1767	1.011	0.077	0.004	427
SP_1768	0.999	0.134	0.009	230
SP_1769	1.004	0.077	0.005	229
SP_1770	0.994	0.130	0.006	402
SP_1771	1.010	0.127	0.007	325
SP_1772	1.034	0.071	0.007	108
SP_1773	1.009	0.076	0.009	72
SP_1774	0.780	0	0	1
SP_1775	0.997	0.068	0.013	28
SP_1776	0			0
SP_1777	1.014	0.119	0.015	63
SP_1778	1.019	0.075	0.016	23
SP_1779	1.014	0.070	0.009	60
SP_1780	1.005	0.093	0.006	225
SP_1781	0.988	0.074	0.011	46
SP_1782	0.992	0.067	0.009	56
SP_1783	0.979	0.068	0.012	31
SP_1784	0.989	0.093	0.010	92
SP_1785	0.973	0.068	0.014	24
SP_1786	0.996	0.074	0.009	62
SP_1787	0.999	0.062	0.016	15
SP_1788	1.017	0.076	0.016	23
SP_1789	0.980	0.058	0.018	11
SP_1790	0.995	0.067	0.007	103
SP_1791	0.995	0.019	0.011	3
SP_1793	1.002	0.080	0.008	93
SP_1794	0.982	0.079	0.028	8
SP_1795	1.001	0.065	0.005	201
SP_1796	1.003	0.068	0.004	239
SP_1797	0.984	0.079	0.006	189
SP_1798	1.004	0.078	0.007	137
SP_1799	0.991	0.073	0.007	113
SP_1800	1.020	0.115	0.007	278
SP_1801	1.003	0.052	0.011	24
SP_1802	1.029	0.064	0.007	79
SP_1803	1.015	0.091	0.010	89
SP_1804	1.007	0.072	0.011	46
SP_1805	1.003	0.051	0.014	14
SP_1806	1.017	0.074	0.011	46
SP_1807	1.020	0.074	0.010	60
SP_1808	1.020	0.078	0.017	21
SP_1809	0.999	0.030	0.012	6
SP_1810	1.009	0.113	0.009	152
SP_1811	1.012	0.059	0.008	49
SP_1812	1.025	0.063	0.006	110
SP_1813	1.007	0.067	0.008	78
SP_1814	1.042	0.078	0.013	36
SP_1815	0.988	0.079	0.011	48
SP_1816	1.009	0.077	0.011	49
SP_1817	0.996	0.068	0.005	158
SP_1818	1.027	0.064	0.019	11
SP_1819	0.982	0.081	0.016	25
SP_1820	1.019	0.045	0.016	8
SP_1821	1.012	0.101	0.007	202
SP_1822	1.018	0.071	0.006	129
SP_1823	1.022	0.074	0.005	181
SP_1824	1.012	0.076	0.004	427
SP_1825	1.002	0.111	0.008	203
SP_1826	1.012	0.071	0.004	254
SP_1827	0.983	0.210	0.021	102
SP_1828	1.013	0.078	0.005	256
SP_1829	1.018	0.075	0.004	311
SP_1830	1.011	0.081	0.005	289
SP_1831	1.013	0.073	0.007	125
SP_1832	1.002	0.081	0.010	70
SP_1833	1.032	0.090	0.004	476
SP_1834	1.012	0.081	0.015	28
SP_1835	0.995	0.082	0.027	9
SP_1836	0.973	0.054	0.014	15
SP_1837	0			0
SP_1838	0.944	0	0	1
SP_1839	1.040	0.072	0.006	135
SP_1840	1.027	0.079	0.007	129
SP_1841	1.035	0.046	0.019	6
SP_1842	0.966	0.114	0.032	13
SP_1843	1.147	0.074	0.037	4
SP_1844	0.994	0.069	0.015	22
SP_1845	1.121	0.058	0.041	2
SP_1846	1.024	0.079	0.012	45
SP_1847	0.987	0.066	0.015	19
SP_1848	1.025	0.070	0.008	80
SP_1849	0.998	0.067	0.006	116
SP_1850	1.019	0.088	0.009	95
SP_1851	1.019	0.066	0.009	48
SP_1852	1.102	0.100	0.013	59
SP_1853	0.966	0.104	0.015	50
SP_1854	1.026	0.122	0.012	103
SP_1855	1.007	0.074	0.006	168
SP_1856	0.999	0.075	0.010	53
SP_1857	0.992	0.073	0.008	79
SP_1858	0.990	0.086	0.012	51
SP_1859	1.023	0.065	0.007	93
SP_1860	1.023	0.078	0.007	118
SP_1861	1.032	0.075	0.010	54
SP_1862	1.004	0.118	0.011	112
SP_1863	1.009	0.054	0.011	25
SP_1864	0.997	0.068	0.011	37
SP_1865	1.062	0.064	0.008	58
SP_1866	1.015	0.076	0.024	10
SP_1867	1.013	0.248	0.028	80
SP_1868	1.012	0.088	0.018	24
SP_1869	1.016	0.069	0.008	82
SP_1870	1.013	0.076	0.007	114
SP_1871	1.015	0.068	0.010	48
SP_1872	1.022	0.074	0.009	63
SP_1873	0.965	0.158	0.038	17
SP_1874	0.965	0.102	0.020	25
SP_1875	0.973	0.012	0.007	3
SP_1876	1.031	0.076	0.027	8
SP_1877	1.027	0.084	0.016	27
SP_1878	1.061	0.070	0.017	17
SP_1879	1.020	0.069	0.017	17
SP_1880	0.996	0.066	0.008	71
SP_1881	1.040	0.052	0.037	2
SP_1882	1.006	0.056	0.018	10
SP_1883	0.839	0	0	1
SP_1884	1.007	0.078	0.007	124
SP_1885	1.023	0.088	0.013	49
SP_1887	0.838	0.106	0.027	15
SP_1888	0.919	0.103	0.021	24
SP_1889	0.971	0.095	0.025	14
SP_1890	0.949	0.137	0.018	58
SP_1891	0.825	0.103	0.006	290
SP_1892	0.890	0.025	0.014	3
SP_1893	1.007	0.040	0.016	6
SP_1894	1.071	0.069	0.004	265
SP_1895	1.067	0.065	0.005	156
SP_1896	1.059	0.065	0.007	95
SP_1897	1.055	0.087	0.009	95
SP_1898	1.050	0.088	0.007	182
SP_1899	1.083	0.056	0.008	46
SP_1900	0.978	0.086	0.026	11
SP_1901	1.036	0.060	0.005	145
SP_1902	1.006	0.081	0.011	51
SP_1903	0.894	0.094	0.067	2
SP_1904	1.059	0.062	0.010	37
SP_1906	0			0
SP_1907	0.994	0.054	0.038	2
SP_1908	1.000	0.145	0.024	38
SP_1909	1.023	0.074	0.009	66
SP_1910	1.004	0.073	0.011	42
SP_1911	1.027	0.074	0.013	35
SP_1912	1.012	0.071	0.015	23
SP_1913	1.020	0.069	0.008	69
SP_1914	0.849	0.131	0.044	9
SP_1915	1.050	0.127	0.021	38
SP_1916	1.005	0.065	0.008	67
SP_1917	1.033	0.068	0.011	35
SP_1918	1.028	0.059	0.007	72
SP_1919	1.028	0.070	0.008	83
SP_1920	1.052	0.068	0.012	32
SP_1921	1.032	0.094	0.024	15
SP_1922	0.991	0.131	0.032	17
SP_1923	1.022	0.064	0.005	166
SP_1924	1.029	0.075	0.008	93
SP_1925	1.019	0.057	0.009	42
SP_1926	1.018	0.060	0.013	22
SP_1929	1.027	0.058	0.016	14
SP_1930	1.007	0.086	0.016	28
SP_1931	1.019	0.068	0.008	80
SP_1932	1.010	0.054	0.017	10
SP_1933	1.018	0.096	0.008	133
SP_1934	1.035	0.110	0.011	105
SP_1935	1.015	0.060	0.008	59
SP_1936	1.002	0.072	0.014	26
SP_1937	1.011	0.093	0.010	89
SP_1938	0.969	0.072	0.011	39
SP_1939	0.966	0.067	0.006	131
SP_1940	0.911	0.130	0.075	3
SP_1941	0.982	0.070	0.006	117
SP_1942	0.900	0	0	1
SP_1943	1.031	0.076	0.010	53
SP_1944	0.831	0.007	0.005	2
SP_1945	1.021	0.067	0.009	54
SP_1946	1.023	0.083	0.006	163
SP_1947	0.992	0.049	0.014	12
SP_1948	1.008	0.086	0.016	28
SP_1949	1.023	0.046	0.009	27
SP_1950	1.023	0.096	0.003	873
SP_1951	1.024	0.084	0.006	203
SP_1952	1.021	0.138	0.008	263
SP_1953	1.024	0.118	0.004	1108
SP_1954	1.022	0.066	0.004	352
SP_1955	1.015	0.092	0.009	109
SP_1956	1.009	0.075	0.007	130
SP_1957	1.049	0.095	0.010	92
SP_1958	1.025	0.060	0.009	43
SP_1959	1.028	0.066	0.018	14
SP_1960	0			0
SP_1961	0			0
SP_1962	0.991	0.045	0.015	9
SP_1963	1.034	0.072	0.006	163
SP_1964	1.029	0.069	0.009	61
SP_1965	1.026	0.051	0.013	16
SP_1966	1.007	0.080	0.007	137
SP_1967	1.044	0.081	0.006	166
SP_1968	0			0
SP_1969	0			0
SP_1970	1.045	0.080	0.010	63
SP_1971	1.029	0.062	0.009	45
SP_1972	1.049	0.075	0.008	92
SP_1973	0.990	0.088	0.019	21
SP_1974	1.035	0.073	0.014	27
SP_1975	0			0
SP_1976	1.039	0.073	0.010	56
SP_1977	1.021	0.091	0.019	22
SP_1978	1.028	0.081	0.008	116
SP_1979	0.974	0.084	0.011	61
SP_1980	1.084	0.244	0.031	61
SP_1981	0.950	0.079	0.021	14
SP_1982	0.972	0.080	0.018	20
SP_1983	0			0
SP_1984	0			0
SP_1985	0			0
SP_1986	1.059	0.094	0.035	7
SP_1987	1.011	0.071	0.016	19
SP_1988	1.027	0.072	0.005	173
SP_1989	1.042	0.067	0.007	96
SP_1990	0			0
SP_1991	0.973	0.191	0.031	39
SP_1992	1.009	0.098	0.018	31
SP_1993	0			0
SP_1994	1.079	0.056	0.039	2
SP_1995	1.016	0.086	0.010	71
SP_1996	1.028	0.071	0.013	29
SP_1997	1.014	0.086	0.010	79
SP_1998	0.812	0.122	0.023	28
SP_1999	0.842	0.095	0.019	24
SP_2000	1.020	0.058	0.009	45
SP_2001	1.023	0.089	0.007	144
SP_2002	1.034	0.073	0.010	57
SP_2003	1.028	0.072	0.009	65
SP_2004	1.051	0.023	0.016	2
SP_2005	0			0
SP_2007	0.989	0	0	1
SP_2008	0			0
SP_2009	0.804	0	0	1
SP_2010	0.982	0.082	0.016	26
SP_2011	1.023	0.062	0.007	86
SP_2012	0			0
SP_2013	1.025	0.134	0.011	139
SP_2016	1.013	0.069	0.007	85
SP_2017	1.054	0.070	0.006	115
SP_2019	1.020	0.095	0.015	41
SP_2020	1.029	0.073	0.009	66
SP_2021	1.014	0.073	0.005	221
SP_2022	1.041	0.064	0.004	303
SP_2023	1.036	0.076	0.012	41
SP_2024	1.022	0.073	0.008	79
SP_2025	1.004	0.045	0.010	21
SP_2026	1.051	0.076	0.005	249
SP_2027	0.975	0.099	0.022	21
SP_2028	1.016	0.055	0.009	39
SP_2029	1.040	0.088	0.011	58
SP_2030	1.055	0	0	1
SP_2031	1.058	0.064	0.005	135
SP_2032	1.057	0.082	0.005	263
SP_2033	1.034	0.142	0.012	136
SP_2034	1.022	0.073	0.007	127
SP_2035	1.009	0.071	0.008	84
SP_2036	1.031	0.083	0.012	52
SP_2037	0.998	0.067	0.018	13
SP_2038	1.015	0.065	0.005	172
SP_2039	1.033	0.087	0.015	33
SP_2040	1.003	0.176	0.088	4
SP_2041	1.040	0.070	0.011	41
SP_2042	0			0
SP_2043	1.046	0.060	0.019	10
SP_2044	1.122	0	0	1
SP_2045	1.013	0.075	0.009	66
SP_2046	1.058	0.070	0.012	33
SP_2047	1.059	0.070	0.014	26
SP_2048	1.048	0.080	0.013	38
SP_2049	1.041	0.063	0.014	21
SP_2050	1.056	0.072	0.013	29
SP_2051	1.064	0.057	0.012	22
SP_2052	1.039	0.096	0.010	95
SP_2053	1.045	0.067	0.007	98
SP_2054	1.090	0.059	0.006	95
SP_2055	1.032	0.075	0.006	136
SP_2056	1.026	0.101	0.023	20
SP_2057	0.967	0.101	0.012	66
SP_2058	1.010	0.074	0.007	103
SP_2059	1.025	0.089	0.009	105
SP_2060	1.046	0.071	0.008	83
SP_2061	1.059	0.074	0.011	47
SP_2062	1.010	0.097	0.024	17
SP_2063	1.045	0.081	0.010	67
SP_2064	1.022	0.065	0.007	77
SP_2065	1.043	0.067	0.005	153
SP_2066	0.971	0.079	0.011	51
SP_2067	1.000	0.062	0.012	26
SP_2068	1.025	0.047	0.013	14
SP_2069	1.049	0	0	1
SP_2070	0.995	0.053	0.026	4
SP_2071	0			0
SP_2072	1.039	0.084	0.011	61
SP_2073	1.075	0.093	0.012	57
SP_2075	1.059	0.085	0.015	34
SP_2076	1.036	0.074	0.004	286
SP_2077	1.027	0.082	0.010	70
SP_2078	0			0
SP_2081	1.052	0.079	0.011	53
SP_2082 (*)	1.096	0.076	0.010	58
SP_2083	1.045	0.083	0.008	110
SP_2084	1.051	0.062	0.008	54
SP_2085	1.068	0.083	0.008	121
SP_2086	1.058	0.064	0.005	193
SP_2087	1.049	0.067	0.006	130
SP_2088	1.039	0.069	0.007	94
SP_2090	1.043	0.075	0.009	66
SP_2091	0			0
SP_2092	1.065	0.128	0.052	6
SP_2093	1.045	0.060	0.005	174
SP_2094	1.039	0.073	0.007	111
SP_2095	1.026	0.060	0.007	66
SP_2096	1.019	0.080	0.010	68
SP_2097	1.018	0.069	0.022	10
SP_2098	1.057	0.065	0.006	132
SP_2099	1.024	0.071	0.003	452
SP_2100	1.040	0.023	0.013	3
SP_2101	1.033	0.089	0.005	369
SP_2102	1.030	0.124	0.015	68
SP_2103	1.040	0.088	0.008	129
SP_2104	1.042	0.059	0.007	75
SP_2105	1.040	0.078	0.006	171
SP_2106	0.988	0.077	0.005	199
SP_2107	1.065	0.039	0.016	6
SP_2108	1.039	0.122	0.007	303
SP_2109	1.030	0.069	0.005	213
SP_2110	1.024	0.067	0.006	106
SP_2111	1.048	0.077	0.007	132
SP_2112	1.047	0.082	0.008	108
SP_2113	1.021	0.095	0.013	55
SP_2114	1.024	0.053	0.027	4
SP_2115	0.994	0.080	0.023	12
SP_2116	1.012	0.075	0.008	89
SP_2117	1.035	0.076	0.008	92
SP_2118	1.026	0.129	0.022	33
SP_2119	1.004	0.067	0.022	9
SP_2120	1.033	0.080	0.007	120
SP_2121	1.053	0.052	0.030	3
SP_2122	1.046	0.069	0.005	182
SP_2123	1.025	0.062	0.004	223
SP_2124	1.046	0.065	0.023	8
SP_2125	1.049	0.062	0.014	19
SP_2126	1.050	0.067	0.005	179
SP_2127	1.054	0.108	0.006	304
SP_2128	1.051	0.090	0.006	248
SP_2129	1.039	0.067	0.003	478
SP_2130	1.053	0.097	0.010	94
SP_2131	1.033	0.116	0.005	571
SP_2132	1.046	0.070	0.005	167
SP_2133	1.040	0.074	0.016	22
SP_2134	0.915	0.105	0.035	9
SP_2135	0.984	0.056	0.020	8
SP_2136	1.047	0.129	0.006	475
SP_2139	1.036	0.080	0.012	44
SP_2140	1.055	0.061	0.008	59
SP_2141	1.038	0.074	0.005	205
SP_2142	1.042	0.070	0.008	76
SP_2143	1.029	0.072	0.004	349
SP_2144	1.016	0.073	0.006	134
SP_2145	1.022	0.072	0.004	289
SP_2146	1.008	0.072	0.006	167
SP_2147	0.973	0.224	0.020	130
SP_2148	1.048	0.072	0.006	131
SP_2150	1.032	0.075	0.007	118
SP_2151	1.042	0.131	0.013	99
SP_2152	1.038	0.075	0.004	281
SP_2153	1.051	0.088	0.006	193
SP_2155	1.050	0.071	0.007	100
SP_2156	1.032	0.138	0.014	101
SP_2157	1.041	0.070	0.004	269
SP_2158	1.045	0.092	0.005	415
SP_2159	1.036	0.084	0.003	1113
SP_2160	1.039	0.117	0.004	812
SP_2161	1.036	0.098	0.006	309
SP_2162	1.047	0.104	0.007	235
SP_2163	1.044	0.069	0.006	117
SP_2164	1.040	0.063	0.007	82
SP_2165	1.041	0.083	0.006	183
SP_2166	1.033	0.104	0.008	164
SP_2167	1.031	0.074	0.004	289
SP_2168	1.053	0.159	0.013	148
SP_2169	1.029	0.075	0.005	245
SP_2170	0.996	0.082	0.027	9
SP_2171	0.744	0.020	0.014	2
SP_2172	0.873	0	0	1
SP_2173	1.064	0.069	0.005	182
SP_2174	1.068	0.078	0.014	29
SP_2175	1.051	0.098	0.007	223
SP_2176	1.050	0.071	0.005	191
SP_2177	1.028	0.081	0.016	26
SP_2178	1.041	0.075	0.013	31
SP_2180	1.042	0.075	0.005	195
SP_2182	1.056	0.067	0.005	163
SP_2183	1.098	0.074	0.025	9
SP_2184	1.040	0.071	0.009	63
SP_2185	0.988	0.088	0.011	63
SP_2186	0.988	0.083	0.008	110
SP_2187	0.996	0.090	0.008	113
SP_2188	0.972	0.072	0.018	15
SP_2189	0.964	0.083	0.013	38
SP_2190	1.044	0.070	0.006	161
SP_2191	1.051	0.068	0.007	86
SP_2192	1.039	0.077	0.005	204
SP_2193	1.083	0.203	0.023	77
SP_2194	0.954	0.101	0.011	90
SP_2195	1.015	0.109	0.021	26
SP_2196	1.030	0.065	0.006	104
SP_2197	1.023	0.063	0.007	91
SP_2198	1.043	0.120	0.015	63
SP_2199	0.978	0.056	0.023	6
SP_2200	1.095	0.184	0.130	2
SP_2201	1.059	0.094	0.009	122
SP_2202	0			0
SP_2203	0			0
SP_2204	1.020	0.060	0.027	5
SP_2205	1.059	0.090	0.021	19
SP_2206	1.058	0.086	0.009	95
SP_2207	1.085	0.074	0.007	124
SP_2208	1.104	0.084	0.007	160
SP_2209	1.097	0.079	0.010	60
SP_2210	1.038	0.063	0.007	83
SP_2214	1.063	0	0	1
SP_2215	0			0
SP_2216	0			0
SP_2217	0			0
SP_2218	0			0
SP_2219	1.042	0.087	0.025	12
SP_2220	1.026	0.084	0.017	25
SP_2221	1.023	0.081	0.020	16
SP_2222	1.085	0.076	0.034	5
SP_2223	0.984	0.070	0.018	15
SP_2224	1.001	0.077	0.012	38
SP_2225	1.006	0.076	0.010	54
SP_2226	1.105	0.032	0.023	2
SP_2227	0			0
SP_2228	1.087	0	0	1
SP_2229	0			0
SP_2230	0.935	0.120	0.015	62
SP_2231	0.973	0.093	0.005	339
SP_2232	1.039	0.065	0.006	124
SP_2233	1.033	0.114	0.009	179
SP_2234	1.055	0.083	0.008	120
SP_2235	1.051	0.085	0.006	196
SP_2236	1.044	0.081	0.004	380
SP_2237	1.087	0.068	0.019	13
SP_2238	0.991	0.066	0.010	46
SP_2239	1.040	0.085	0.015	30
SP_2240	1.037	0.099	0.015	45
